Question Title,Description,Accepted Answer
SSL/TLS support in Kaa with ESP8266,"I am new to Kaa and is trying to implement a Kaa based solution with ESP8266. I want to know if it supports SSL/TLS sockets for communication. If not, is there any way to make communication secure (like starttls).I am currently programming ESP 12E (A variant of ESP8266) using Arduino IDE. Is there any way for me to send data directly to a Kaa installation through secure communication?Thanks is advance!Starting from Kaa 0.10, the C SDK uses a hybrid RSA+AES encrypted connection by default.See  for more details.","Starting from Kaa 0.10, the C SDK uses a hybrid RSA+AES encrypted connection by default.See  for more details."
UWP - SQLite issues when compiling in native,"I was developing my app using SQLite, on ""Debug"" mode, worked perfectly.When I try to ""Release"" it (Compiling ""Native""), the problem started, looks like UWP doesn't support Reflexion.I'm currently using this packages:For example, if I try to do this:These are some of the error:How should I refactor the code?Should I use a different Library? I had the same issue when i was updating my apps from Silverlight to UWP. I read an article somewhere ( Tried to find it but was unable to ) which says SQLlite for UWP is available for Windows 10 deployment.The above is a VS Extension. You can get there from Tools ->> Extensions & UpdatesBelow is how my References look like.Also I noticed that you are not closing your db connection. Always better to use it inside a  statement. your  will look something like below.",I had the same issue when i was updating my apps from Silverlight to UWP. I read an article somewhere ( Tried to find it but was unable to ) which says SQLlite for UWP is available for Windows 10 deployment.The above is a VS Extension. You can get there from Tools ->> Extensions & UpdatesBelow is how my References look like.Also I noticed that you are not closing your db connection. Always better to use it inside a  statement. your  will look something like below.
How to reach my IOT device from everywhere without static IP,"I am able to access to my IOT device if I assign it a static IP with a service like dydns. But I would like to be able to reach it without relying on something.I was thinking that my IOT device could ,on every start, write in a database its IP adress so my script on the server knows its ip. The problem is that the IP will correspond to my hotspot IP. I am missing the connection part ""hotspot -->IOT device"".For example I would like to be able to connect my IOT device to my mobile phone in hotspot mode.One way to do this would be to re-design your system: if when it comes online the IoT device always connects (and stays connected) to a server component (which has a well-known/unchanging hostname/IP address), then the server can always send the IoT device a command over that TCP connection without knowing the hostname/IP address of the IoT device, and without it having to be contactable from the internet, i.e. this approach is firewall-friendly at the device end.This is how the IoT is architected when using e.g. MQTT: devices connect inwards to the MQTT broker (i.e. server). MQTT also removes the need for the server application itself to need to connect to the clients. MQTT uses a concept called publish/subscribe with pre-agreed 'topics' - the client will subscribe to a 'command' topic, the server app publishes commands to that topic and the broker handles forwarding the command to the device. Incoming data from the device is published to another topic and the server application subscribes to that topic, the broker forwards the published data. You can try pub/sub example (using a browser, but real devices can also connect to the same server) using e.g. ","One way to do this would be to re-design your system: if when it comes online the IoT device always connects (and stays connected) to a server component (which has a well-known/unchanging hostname/IP address), then the server can always send the IoT device a command over that TCP connection without knowing the hostname/IP address of the IoT device, and without it having to be contactable from the internet, i.e. this approach is firewall-friendly at the device end.This is how the IoT is architected when using e.g. MQTT: devices connect inwards to the MQTT broker (i.e. server). MQTT also removes the need for the server application itself to need to connect to the clients. MQTT uses a concept called publish/subscribe with pre-agreed 'topics' - the client will subscribe to a 'command' topic, the server app publishes commands to that topic and the broker handles forwarding the command to the device. Incoming data from the device is published to another topic and the server application subscribes to that topic, the broker forwards the published data. You can try pub/sub example (using a browser, but real devices can also connect to the same server) using e.g. "
How to run a command in .sh file during startup for Intel Edison?,"As there is no rc.local file in Intel Edison, how do I run a command in a .sh file during startup? I'm running  and want it to execute during every startup and save it into a text file.Intel Edison uses systemd for handling services. You can find these services in /lib/systemd/system , for e.g., create a copy of iotkit-agent.service, rename it to .service and modify accordingly.Now all you have to do isTo run this script on boot, you can enable it by runningNow reboot and see if it runs the script. You can also check the status by running the command","Intel Edison uses systemd for handling services. You can find these services in /lib/systemd/system , for e.g., create a copy of iotkit-agent.service, rename it to .service and modify accordingly.Now all you have to do isTo run this script on boot, you can enable it by runningNow reboot and see if it runs the script. You can also check the status by running the command"
Can't launch bluemix IOT foundation dashboard on MAC computer?,"I tried use browser safari , firefox, Chrome, the dashboard is pending on loading something. I tried from Windows, the dashboard works fine.
I launched the IOTF dashboard from bluemix portal after I login the system. 
I got from error message from web console .Our team is able to load the IoT Dashboard on a MAC. Please check if you are connecting from a country that may have a government network firewall (such as China) if that may be preventing your connection.  ",Our team is able to load the IoT Dashboard on a MAC. Please check if you are connecting from a country that may have a government network firewall (such as China) if that may be preventing your connection.  
Error with curl,"I am trying to send some data to the internet of things service using curl.I have configured the PATH and curl is accessible.But when i try to pus a data (Measure) using the below link,i get a message:Can you please help.Just to finalize this question so that it can be fully answered:
Your request is fine except for a small syntax error.Your code:Correct code:(Notice the space between the end of the  option  and the beginning of the request URL ","Just to finalize this question so that it can be fully answered:
Your request is fine except for a small syntax error.Your code:Correct code:(Notice the space between the end of the  option  and the beginning of the request URL "
The Things Stack | LoRaWAN AppEUI [closed],"I'm try to set up an end device on () and I'm not sure about the AppEUI.Now I have a problem: where to get that AppEUI? Should it be common to each end node (I guess it should)? Should I choose a random one or use same as DevEUI?The AppEUI is, as the name says, a unique identifier for an application you have registered in TTN. It is common to all devices that contribute to the application. The DevEUI on the other hand is unique to each device.So: all devices that are on this application – same AppEUI. Every device – a unique, different DevEUI.","The AppEUI is, as the name says, a unique identifier for an application you have registered in TTN. It is common to all devices that contribute to the application. The DevEUI on the other hand is unique to each device.So: all devices that are on this application – same AppEUI. Every device – a unique, different DevEUI."
Why the mqtt connection over 1883 port to IBM Watson IoT Platform does not work?,"I've created a new Watson IoT Platform service but I can't connect devices to over port 1883 (following the documentation instructions).Newly provisioned Watson IoT Platform services now mandate that devices connect over TLS (i.e., port 8883), rather than port 1883. You can change your service's security policy by going to Security > Connection Security and changing the default rule. ""TLS Optional"" will allow you to connect to 1883.This change has been made because it ensures that Watson IoT Platform is secure out of the box: it is then a conscious decision by your administrator to lessen the security should you wish to connect to port 1883.","Newly provisioned Watson IoT Platform services now mandate that devices connect over TLS (i.e., port 8883), rather than port 1883. You can change your service's security policy by going to Security > Connection Security and changing the default rule. ""TLS Optional"" will allow you to connect to 1883.This change has been made because it ensures that Watson IoT Platform is secure out of the box: it is then a conscious decision by your administrator to lessen the security should you wish to connect to port 1883."
How to fake generation of ipv6 traffic in linux?,"I made my prog for ddos attack detection in contiki. Now I want to check whether it is working or not. For that I want to generate fake IPv6 traffic in my application.I use tools like ping6 inbuilt utility, but it just pings from a single IP. I want to test from different IPs.Is there any tools for fake IPv6 packet creation or ICMPVv6 generation so I can generate IPv6 traffic and can test my program? So i just want to know if it is possible through some utility program to generate traffic, analyze it, and generate a result?You can use . It's a free utility that provides an easy way to construct packets and get their replies. It's general-purpose, and suitable for many purposes including forging packets.","You can use . It's a free utility that provides an easy way to construct packets and get their replies. It's general-purpose, and suitable for many purposes including forging packets."
Insufficient space error on Intel Galileo running yocto,"I want to install a new node library with npm on my Intel Galileo Gen 2 board running yocto (iot-devkit-1.5-i586-galileo). This has worked perfectly a couple of times before, however I have come to a point where npm tells me that I do not have sufficient space on my system which I can't really believe as I am using a 8GB SD card and yocto only takes up 1.3GB. When I run npm install geoip-lite I get the following error:
When I run df -h I get the following:
Yocto won't create a larger rootfs unless you tell it to (you can imagine someone with a 2GB SD card would be annoyed if the image was 4GB for no apparent reason).You should probably use  in your image recipe to set the amount of free space you want in Kbytes, but please read the  as well for the bigger picture.Well, your rootfs is full (100% used). npm install writes to the rootfs, so the problem is clear. So either remove unnecessary bits from the rootfs or increase the rootfs size.I do not really prefer  as this will increase the download size of the file () by a big chunk given that I compile the Image in Amazon EC2.What I usually do is, compress the rootfs to tar ball and download to local.In my SD Card, I set up 2 partitions using  , one is for kernel and the other is for Rootfs. Use  for the , put the Kernel  and  into the first partition and just extract the  tarball into the second parition.Doing this way, I make sure that I use every single space in the SD Card. And, it is easier for me to change the rootfs if I need to. ","Yocto won't create a larger rootfs unless you tell it to (you can imagine someone with a 2GB SD card would be annoyed if the image was 4GB for no apparent reason).You should probably use  in your image recipe to set the amount of free space you want in Kbytes, but please read the  as well for the bigger picture.Well, your rootfs is full (100% used). npm install writes to the rootfs, so the problem is clear. So either remove unnecessary bits from the rootfs or increase the rootfs size.I do not really prefer  as this will increase the download size of the file () by a big chunk given that I compile the Image in Amazon EC2.What I usually do is, compress the rootfs to tar ball and download to local.In my SD Card, I set up 2 partitions using  , one is for kernel and the other is for Rootfs. Use  for the , put the Kernel  and  into the first partition and just extract the  tarball into the second parition.Doing this way, I make sure that I use every single space in the SD Card. And, it is easier for me to change the rootfs if I need to. "
Unable to connect TI SensorTag CC2650STK to IoT Foundation / Bluemix via Android App,"I can connect the SensorTag with the BLE SensorTag app on my Android phone and I can use the default Push to Cloud Quickstart setup to send data to IoT Foundation Quickstart. But I fail when trying to connect to IoT Foundation as a registered device.I have registered the device on IoT foundation.I have the newest app from the Google Play Store (Android) and get an error while connecting (""Keine Berechtigung für Verbindung"" ~ ""No authorization for connection"").My configuration is:I would appreciate any help on this.PS: I know the same question was asked by Harald Uebele some time ago, but my error was not explained and my post there was deleted.The TI Sensor android app does not yet support registered device connection to IOTF. That update is in the process but not publicly available yet. Registered device connection does work currently with iOS. Just to make sure, you have ""use-token-auth"" - is that a typo? it should be ""user-token-auth"". Perhaps try the following topic: iot-2/evt/status/fmt/jsonAlso, is your json payload wrapped in a ""d"" structure? E.g It may be worth using an MQTT test client like MQTTlens (from Chrome web store). You can enter those details in so you can at least rule out its not the client. ","The TI Sensor android app does not yet support registered device connection to IOTF. That update is in the process but not publicly available yet. Registered device connection does work currently with iOS. Just to make sure, you have ""use-token-auth"" - is that a typo? it should be ""user-token-auth"". Perhaps try the following topic: iot-2/evt/status/fmt/jsonAlso, is your json payload wrapped in a ""d"" structure? E.g It may be worth using an MQTT test client like MQTTlens (from Chrome web store). You can enter those details in so you can at least rule out its not the client. "
KURA: how to change the MQTT messages format,"The KURA MQTT cloud client publishes messages respecting the following formula ():I want to send MQTT messages with my own format, I dont want to send the account name and the client id in the MQTT message.How can I do that? 
I already tried to change the configuration in the KURA web interface -> MQTTData transport and I have deleted the content of ""lwt.topic"" but without success.Use the  directly. Ask OSGi to inject the instance into your component.
Sample code to use in your component class:In your component  tell OSGi which methods to call to inject the DataService by adding the followingThen you can pass the topic you need to . Payloads must be converted to  arrays.","Use the  directly. Ask OSGi to inject the instance into your component.
Sample code to use in your component class:In your component  tell OSGi which methods to call to inject the DataService by adding the followingThen you can pass the topic you need to . Payloads must be converted to  arrays."
How to check AWS IoT Device connection status on the web console?,"I just started playing with AWS IoT. I created a thing and use mqtt-spy to connect to AWS server. All is ok.Now I'd like to check the status of each thing in the web console, however I couldn't find such useful info near the device.By enabling , you can get the connectivity status of a thing. Also, you can query for currently connected/disconnected devices. First, you have to enable indexing (thingConnectivityIndexingMode) by aws-cli or through the console. Then you can query a thing's connectivity status like the followingEDIT: The javascript version of this:You need to subscribe to the topic on the aws iot console , test section on the right corner of AWS IoT-core. for example you to subscribe to this topic replace your client with the . 
    
if you have more than one thing then you have to subscribe using your ClientID
for reference check this link ","By enabling , you can get the connectivity status of a thing. Also, you can query for currently connected/disconnected devices. First, you have to enable indexing (thingConnectivityIndexingMode) by aws-cli or through the console. Then you can query a thing's connectivity status like the followingNote: Fleet Indexing Service index connectivity data with device lifecycle events ($aws/events/presence/connected/). In some cases it may take a minute or so for the service to update indexing after a connect or disconnect event occurs.EDIT: The javascript version of this:You need to subscribe to the topic on the aws iot console , test section on the right corner of AWS IoT-core. for example you to subscribe to this topic replace your client with the . 
    
if you have more than one thing then you have to subscribe using your ClientID
for reference check this link "
Storing checkbox value on server side,"For my home automation project (using a Raspberry Pi with an Apache server and a configuration webpage) I'm trying to save a checkbox's setting to a file on the server side, but I can't get it working in my situation.
Using php with fopen() and fwrite() I can store any string into a text file, that's no problem. The issue is that the form uses POST and I can't seem to figure out how to write my code in such a way that:1) the checkbox itself is set to the value that is currently present in the text file ('remembering and retrieving' the setting);2) the setting that was just set by the user is written to the file, which happens when the page loads (POST).These actions seem to get in eachother's way because php is server side. If the page is refreshed or visited for the first time there's no problem, the problem exists in reloading the page after the form is submitted.
It doesn't really matter which method or language I use to save the checkbox's setting on the server side.Which method could do the trick?You can set the file by doing something like this, assuming that the file only contains the value 1 or 0 if the checkbox should be set or not (call this script when submitting the form):This is to put the checkbox in right format on screen. Use this when displaying the checkbox form.Be sure to set the right permissions when creating the file so that the PHP processor has write access to it.Can you post the fopen(), fwrite() code? If you're sending a POST to that php page, then you can grab the message contained in your HTML element simliar to this:","You can set the file by doing something like this, assuming that the file only contains the value 1 or 0 if the checkbox should be set or not (call this script when submitting the form):This is to put the checkbox in right format on screen. Use this when displaying the checkbox form.Be sure to set the right permissions when creating the file so that the PHP processor has write access to it.Can you post the fopen(), fwrite() code? If you're sending a POST to that php page, then you can grab the message contained in your HTML element simliar to this:"
XSD Backward compatibility,"I have a XSD file with a schema that is used to define an XML interface for sending values into my application from remote clients. Right now, the XSD have, lets say for simplicity 3 elements. So in order to serialize and deserialize this in C# I can use the tool xsd.exe to generate C# classes and use those classes to serialize and deserialize XML with respect to the XSD.This works, but then lets say I create a new version of the XSD, with a new fourth element to enable some server-side feature available if this element is specified for new remote clients, but I still want to support the old XSD (dont want or can change the software of the old remote clients), but the new classes generated from the new XSD wont be compatible with the old XMLs from the old XSD.I suppose I could read the XML's directly with XDocument or similar, but I want to have the feature of only accepting XML's that can be validated against one of the XSD (and then take server-side decision depending on which XSD version it validates against). This is due to customer relation issues.What is best practice to deal with this issues?If I understand you correctly then you shouldn't need to support multiple XSD's if all you are trying to do is add an additional element to the schema. Instead, if you set the 'minOccurs' value to 0 for this new element and regenerate the CS file and use this to de-serialize your objects this should allow you to de-serialize requests for when the element is present and when it is not present. You can then just evaluate if the Property on the de-serialized object is null to determine whether the new feature should be enabled or not. See example XSD below:Best practice is to avoid data binding technology if your schema is likely to change, especially if you need to handle multiple variants. Basically, XML is designed for flexibility and languages like C# aren't, so if you compile C# code to reflect a specific schema then you are locking yourself in. Data binding is great if nothing changes, but if you need to handle variety and change then either use a generic approach (such as DOM) or use XML-specific processing languages such as XSLT and XQuery.","If I understand you correctly then you shouldn't need to support multiple XSD's if all you are trying to do is add an additional element to the schema. Instead, if you set the 'minOccurs' value to 0 for this new element and regenerate the CS file and use this to de-serialize your objects this should allow you to de-serialize requests for when the element is present and when it is not present. You can then just evaluate if the Property on the de-serialized object is null to determine whether the new feature should be enabled or not. See example XSD below:Best practice is to avoid data binding technology if your schema is likely to change, especially if you need to handle multiple variants. Basically, XML is designed for flexibility and languages like C# aren't, so if you compile C# code to reflect a specific schema then you are locking yourself in. Data binding is great if nothing changes, but if you need to handle variety and change then either use a generic approach (such as DOM) or use XML-specific processing languages such as XSLT and XQuery."
On-screen keyboard in Windows Universal App on Windows IoT?,"Is it possible to show the On-Screen Keyboard (osk) in a Windows Universal App on Windows 10 IoT Core?
The raspberry pi only has a mouse attached and when I click on a textbox I'd like to show the osk.I can set the InputScope and IsTextPredictionEnabled but can't figure out how to trigger the osk to show.There is an example here of an on screen keyboard. If you look at the sample they are using one in their web browser. This is a pretty good keyboard but it would be better to have the default windows keyboardIf it was up to me I would prefer the default OSK since you can specify slightly different keyboard layouts based on inputs. I don't like this one because the text box loses focus which can limit the use of action listeners that you can use. Hopefully this is something that gets enable in future builds but for now this is a pretty good keyboard you can steal so you don't have to start from scratch.On a side note you should upvote in Windows Feedback under ""Developer Platform/ Windows 10 IoT Core"". There should be a suggestion open.I asked that question back in July on the MSDN forums. The answer that I got was:""This has been answered here:There's no onscreen keyboard available at the moment. There's the possibility that one will be added later, but it's not guaranteed. If you read the linked post you also find an explanation as to why none is available.""Just for reference, here's the link to the MSDN question that I asked: And here's the answer from the linked post:""At the moment there is no On-Screen Keyboard available.  If you want a user to input something via the screen then you’ll want to provide the UI for that input in your application.  Part of the reason for this is that we don’t have a ‘shell’ like explorer that is there helping control what app is running or providing other services such as SIP / OSK as is handled on the desktop.Longer term I believe this is something that the product team is considering / looking into but I do not have any timeline on if or when it might be an option (if ever).  If I learn otherwise I will let you know.I hope that helps.""As mentioned in , if you have the latest version, check On-Screen Keyboard from the Windows Device Portal.From  : -I wanted to post the workaround that I came up with, but I didn't have enough rep points yet to include more than 2 links.
So I'm posting it as another answer.Here it is:
And for those interested, I wrote up a very basic example of a osk-UI element. The Idea was to create something that could be reused if necessary. It's also not the fastest thing but maybe it will give you ideas.
Its basically a UserControl inside a Popup. When a Textbox gets focused, it fires an event that sets the ""Keyboard Popup""'s DataContext to that of the Textbox and shows the ""Keyboard"".I dropped it into a .zip file and uploaded it to my Box.com account.Here's the project folder:  ","There is an example here of an on screen keyboard. If you look at the sample they are using one in their web browser. This is a pretty good keyboard but it would be better to have the default windows keyboardIf it was up to me I would prefer the default OSK since you can specify slightly different keyboard layouts based on inputs. I don't like this one because the text box loses focus which can limit the use of action listeners that you can use. Hopefully this is something that gets enable in future builds but for now this is a pretty good keyboard you can steal so you don't have to start from scratch.On a side note you should upvote in Windows Feedback under ""Developer Platform/ Windows 10 IoT Core"". There should be a suggestion open.I asked that question back in July on the MSDN forums. The answer that I got was:""This has been answered here:There's no onscreen keyboard available at the moment. There's the possibility that one will be added later, but it's not guaranteed. If you read the linked post you also find an explanation as to why none is available.""Just for reference, here's the link to the MSDN question that I asked: And here's the answer from the linked post:""At the moment there is no On-Screen Keyboard available.  If you want a user to input something via the screen then you’ll want to provide the UI for that input in your application.  Part of the reason for this is that we don’t have a ‘shell’ like explorer that is there helping control what app is running or providing other services such as SIP / OSK as is handled on the desktop.Longer term I believe this is something that the product team is considering / looking into but I do not have any timeline on if or when it might be an option (if ever).  If I learn otherwise I will let you know.I hope that helps.""As mentioned in , if you have the latest version, check On-Screen Keyboard from the Windows Device Portal.From  : -There is one available (I think since 14986). You have to enable it in
  the device portal under ""Device Settings"" > ""On-screen Keyboard"".Thursday, January 05, 2017 12:57 PMI wanted to post the workaround that I came up with, but I didn't have enough rep points yet to include more than 2 links.
So I'm posting it as another answer.Here it is:
And for those interested, I wrote up a very basic example of a osk-UI element. The Idea was to create something that could be reused if necessary. It's also not the fastest thing but maybe it will give you ideas.
Its basically a UserControl inside a Popup. When a Textbox gets focused, it fires an event that sets the ""Keyboard Popup""'s DataContext to that of the Textbox and shows the ""Keyboard"".I dropped it into a .zip file and uploaded it to my Box.com account.Here's the project folder:  "
SQLite.Net Won't Create In Win IoT Library,"I have been struggling to find a way of persisting an SQLite database on a Pi under Win IoT which can be accessed by different background applications (not concurrently).I thought I had the answer when I discovered Libraries (Music, Pictures, Videos - but perversely not Documents, without more work). I can create a text file in one app and write it to the Pictures library's default folder. I can then read the text file with another app. File.Exists returns true. Bingo (I thought)! However, SQLite will not create a database in the folder or open an existing database that I copy to the folder. SQLite.Net.SQLiteConnection returns an SQLite exception: ""Could not open database file: C:\Data\Users\DefaultAccount\Pictures\MyDb.db (CannotOpen)"" - no further clues. The folder appears to grant full permissions. Does anyone have any ideas, please?Creating and Writing a text file:Produced:Reading:Produced:Yes, I reproduced this issue. It seems this folder does not work with SQLite file operations but I don't know where the problem is.As a workaround, you can use . I create the .db file and write data in one background app. And read the data from another background app. It works. Contact class:Create and write file:Read file:To use this publisher folder you need add the following lines in Package.appxmanifest:Thanks, Rita. Worked very well. For the benefit of anyone reading, I am using the async version of SqlLite and create the connection as follows:Then, for instance, read a table of type Parms:My concern about the SQLite async connection is that it is not IDisposable. Therefore, will the 'factory' eventually run out of steam (memory, handles)? But I guess that is a subject for another thread.","However, SQLite will not create a database in the folder or open an
  existing database that I copy to the folder.
  SQLite.Net.SQLiteConnection returns an SQLite exception: ""Could not
  open database file: C:\Data\Users\DefaultAccount\Pictures\MyDb.db
  (CannotOpen)"" - no further clues.Yes, I reproduced this issue. It seems this folder does not work with SQLite file operations but I don't know where the problem is.As a workaround, you can use . I create the .db file and write data in one background app. And read the data from another background app. It works. Contact class:Create and write file:Read file:To use this publisher folder you need add the following lines in Package.appxmanifest:Thanks, Rita. Worked very well. For the benefit of anyone reading, I am using the async version of SqlLite and create the connection as follows:Then, for instance, read a table of type Parms:My concern about the SQLite async connection is that it is not IDisposable. Therefore, will the 'factory' eventually run out of steam (memory, handles)? But I guess that is a subject for another thread."
Lambda function for AWS IOT Button in java,"I want to develop java lambda function to identify AWS IOT button click events. I want to identify ""SINGLE"" Click , double-click and Long press events of AWS IOT button. 
Above all are possible in node.js. Is there any support available in Java to identify AWS IOT button click events?I've converted the Python version that sends email to Java .  The  allows you to get the String that represents the click type.",I've converted the Python version that sends email to Java .  The  allows you to get the String that represents the click type.
Publishing commands to device in IBM IoT using MQTT in Java,"I am currently trying to publish a command to a specific topic in the IBM IoT Foundation MQTT Broker using a Java web application. My application is already able to listen to device events and act on them, however publishing commands to the device is a problem. I know for sure that my device is listening to the proper topic for commands, so what could be the problem? More specifically, here is the command I call to publish to the topic (from my Java app): Where the ""publish"" method is defined as follows: All that happens is that I enter the method, I get ""About to send!"" printed on my console as the code specifies, and then the actual 'client.publish(topic, mqttMsg)' call blocks my program indefinitely.. Eventually, after blocking for a while, I get the following error: Thanks for the help!If you are publishing from an application, are you specifying the device type and device id?  Refer to section in documentation about publishing commands to connected devices. 
","If you are publishing from an application, are you specifying the device type and device id?  Refer to section in documentation about publishing commands to connected devices. 
"
IBM IoT Real-Time Insights and multiple map events,"I am using IBM IoT Real-Time insights and sending in an event which contains:
When I send in an event, the map correctly updates with the correct marker as expected:However, when I send in a second event without changing any of its content, the map changes and shows the following marker position:My gut is telling me that the second event is providing coordinates of 0, 0 ... but it is exactly the same event as the first.  If I select a new dashboard and go back to the first with the map, this pattern repeats.  The next event shows fine and the one after that shows me West Africa.  I am able to trivially recreate.The resetting of latitude and longitude coordinates with the maps widget is a limitation that is currently being addressed by the IoT Real-Time Insights team. Keep an eye on the  section for news about new features as they are released. ",The resetting of latitude and longitude coordinates with the maps widget is a limitation that is currently being addressed by the IoT Real-Time Insights team. Keep an eye on the  section for news about new features as they are released. 
Arduino YUN Rest Api HTTP Post,"I use  for  project. I have a web service which requires headers and bodies, and I want to post data from .Default  library supports put, get and delete methods but doesn't support post method.Any suggestion would be great. Thanks.You can use the  class to send the  via  (which is a part of OpenWRT on Arduino YÚN).Example from :Maybe you have an old version of the Bridge library. The code I am seeing in HttpClient.h supports POST (version 1.6.3): ",You can use the  class to send the  via  (which is a part of OpenWRT on Arduino YÚN).Example from :Maybe you have an old version of the Bridge library. The code I am seeing in HttpClient.h supports POST (version 1.6.3): 
"How do I test if the server code can handle requests from 10,000 Raspberry Pi's? [closed]","I am currently in an internship for this Internet of Things company that has written their server code in Javascript. I will try to run the code that regulates connection between their Gateway (the device that will send and receive information to the server).The gateway uses Raspberry Pi units to do the communication. My question is, how do I do stress tests to see if the server will accept up to 10,000 Raspberry Pi's? I found tools like 
But are there other ways to do it? Like using virtual machines to test whether 10000 RSPi's will be handled? And second part of the question, how can I test the firmware of raspberry pi IoT without the hardware, like through a virtual machine. Is that possible??Any pointer about to where to find this stuff would be greatl appreciated!!I think you're approaching it wrong - it doesn't matter that the clients are Raspberry Pis or that there are 10k of them. You load test to find out how many QPS (queries per second) your server can handle within acceptable response times. This is what tools like ab, JMeter, vegeta, locust, etc. are made for. Then figure out how many QPS you expect to be generated - how often are the RPis going to be making calls? Multiply that by 10k and you have your expected load. There is no reason to actually simulate 10k RPis explicitly.","I think you're approaching it wrong - it doesn't matter that the clients are Raspberry Pis or that there are 10k of them. You load test to find out how many QPS (queries per second) your server can handle within acceptable response times. This is what tools like ab, JMeter, vegeta, locust, etc. are made for. Then figure out how many QPS you expect to be generated - how often are the RPis going to be making calls? Multiply that by 10k and you have your expected load. There is no reason to actually simulate 10k RPis explicitly."
How can I set a static IP on my IoT device and have if work on any network automatically,"I'm building a home IoT device and I can't figure out a way of setting a static IP which would work on any network. I want to be able to ship this device to anyone having previously set a static IP and all they would have to do is connect to the internet and be good to go.Any help is appreciated!Consider using Teredo(Miredo in OpenSource world). Following is an excerpt copied shamelessly from Wikipedia.In computer networking, Teredo is a transition technology that gives full IPv6 connectivity for IPv6-capable hosts that are on the IPv4 Internet but have no native connection to an IPv6 network. Unlike similar protocols, it can perform its function even from behind network address translation (NAT) devices such as home routers.You can let your customers to configure the robot like a normal IoT device. Once the device is up and running, it will automatically connect to relay server and get an IPv6 address. This IPv6 address can be static or dynamic, updated to your server without using any third party.This will give you seamless bi-directional connectivity between your server and robot(s) without resorting to port forwarding. You may have to address the security concerns by restricting the access to IPv6 address using PKI infrastructure.Checkout Miredo at . You can even consider setting up your own Miredo server/relay.  the gateway IP of home routers changes constantly. this is why there is , ,... and similar services . this is also a common working solution. your customers need a dynaemic DNS provider or a similar service. This is also a common solution for scurity cameras. Another possibility is that the RPi sends the information to a cloud or another storage outside of the network and the app has access to this cloud. however this could be problematic because of privacy...
the problem is that you want the  or  IP to be static like that of google or other big companies. This is very expensive and not every Internet Service Provider has this service. Another problem is that the IP of a smartphone on that the app runs also changes constantly.Maybe the accepted answer in this link is useful Here is an update in case anyone is having the same issue. I ended up using node package  to update each robot's ip in my database. Each client then pulls the ip from the DB to connect.Here is a snippet of my code. The server is fired on .Why do you need a static IP? I assume you want to open ports on the device and then have users to connect to it.If that is the case: Why?
Having all ports closed provides zero attack surface. If you open ports to the Internet, IoT device search engines will find this and try to attack it. And even if you protocol is secure today and even if users use secure passwords, how can you guarantee this in 5 years?Instead open a connection from the device to a server, and let the users connect to the server. This allows central protection, monitoring (IDS) and security updates. ","Consider using Teredo(Miredo in OpenSource world). Following is an excerpt copied shamelessly from Wikipedia.In computer networking, Teredo is a transition technology that gives full IPv6 connectivity for IPv6-capable hosts that are on the IPv4 Internet but have no native connection to an IPv6 network. Unlike similar protocols, it can perform its function even from behind network address translation (NAT) devices such as home routers.You can let your customers to configure the robot like a normal IoT device. Once the device is up and running, it will automatically connect to relay server and get an IPv6 address. This IPv6 address can be static or dynamic, updated to your server without using any third party.This will give you seamless bi-directional connectivity between your server and robot(s) without resorting to port forwarding. You may have to address the security concerns by restricting the access to IPv6 address using PKI infrastructure.Checkout Miredo at . You can even consider setting up your own Miredo server/relay.  the gateway IP of home routers changes constantly. this is why there is , ,... and similar services . this is also a common working solution. your customers need a dynaemic DNS provider or a similar service. This is also a common solution for scurity cameras. Another possibility is that the RPi sends the information to a cloud or another storage outside of the network and the app has access to this cloud. however this could be problematic because of privacy...
the problem is that you want the  or  IP to be static like that of google or other big companies. This is very expensive and not every Internet Service Provider has this service. Another problem is that the IP of a smartphone on that the app runs also changes constantly.Maybe the accepted answer in this link is useful Here is an update in case anyone is having the same issue. I ended up using node package  to update each robot's ip in my database. Each client then pulls the ip from the DB to connect.Here is a snippet of my code. The server is fired on .Why do you need a static IP? I assume you want to open ports on the device and then have users to connect to it.If that is the case: Why?
Having all ports closed provides zero attack surface. If you open ports to the Internet, IoT device search engines will find this and try to attack it. And even if you protocol is secure today and even if users use secure passwords, how can you guarantee this in 5 years?Instead open a connection from the device to a server, and let the users connect to the server. This allows central protection, monitoring (IDS) and security updates. "
Azure IOT edge Identity Translation Gateway : Understanding,"I'm trying to create an Identity Translation Gateway as described in .I have also read lot of Microsoft Documentation about their IoT solution.I have :As far as I understand:For the example let's say I have:What I don't understand since there is no connection between hub and leaf devices is how, when i'll send a message to ""DeviceA"" with """", the hub will know which gateway address and how to listen it from my gateway. Doing the (un)multiplexing process, in shortthanks for helping.Based on what I understand about your scenario, you are trying to send a message from the cloud to a module running on the Edge device and then have the module send the message to the downstream device. C2D (cloud to device) messages are not supported for Edge devices and modules. You can use C2D methods provided by the ServiceClient in the following package   and call a method on the module. The module can then pass on relevant data to its downstream device.","Based on what I understand about your scenario, you are trying to send a message from the cloud to a module running on the Edge device and then have the module send the message to the downstream device. C2D (cloud to device) messages are not supported for Edge devices and modules. You can use C2D methods provided by the ServiceClient in the following package   and call a method on the module. The module can then pass on relevant data to its downstream device."
